序号	汉字	拼音	音调	拼音码
752	駜	bì	4	bi
753	髲	bì	4	bi
754	壁	bì	4	bi
755	嬖	bì	4	bi
756	廦	bì	4	bi
757	篦	bì	4	bi
758	篳	bì	4	bi
759	縪	bì	4	bi
760	薜	bì	4	bi
761	觱	bì	4	bi
762	避	bì	4	bi
763	鮅	bì	4	bi
764	斃	bì	4	bi
765	濞	bì	4	bi
766	臂	bì	4	bi
767	臂	bei	0	bei
768	蹕	bì	4	bi
769	鞞	bì	4	bi
770	髀	bì	4	bi
771	奰	bì	4	bi
772	璧	bì	4	bi
773	鄨	bì	4	bi
774	饆	bì	4	bi
775	繴	bì	4	bi
776	襞	bì	4	bi
777	鏎	bì	4	bi
778	鞸	bì	4	bi
779	韠	bì	4	bi
780	躃	bì	4	bi
781	躄	bì	4	bi
782	魓	bì	4	bi
783	贔	bì	4	bi
784	驆	bì	4	bi
785	鷝	bì	4	bi
786	鷩	bì	4	bi
787	鼊	bì	4	bi
788	咇	bì	4	bi
789	鮩	bì	4	bi
790	畐	bì	4	bi
791	踾	bì	4	bi
792	鶝	bì	4	bi
793	闬	bì	4	bi
794	閈	bì	4	bi
795	祕	bì	4	bi
796	鴓	bì	4	bi
797	怶	bì	4	bi
798	旇	bì	4	bi
799	翍	bì	4	bi
800	肶	bì	4	bi
801	笓	bì	4	bi
802	鸊	bì	4	bi
803	肸	bì	4	bi
804	畁	bì	4	bi
805	詖	bì	4	bi
806	鄪	bì	4	bi
807	襣	bì	4	bi
808	边	biān	1	bian
809	砭	biān	1	bian
810	笾	biān	1	bian
811	猵	biān	1	bian
812	编	biān	1	bian
813	萹	biān	1	bian
814	煸	biān	1	bian
815	牑	biān	1	bian
816	甂	biān	1	bian
817	箯	biān	1	bian
818	編	biān	1	bian
819	蝙	biān	1	bian
820	獱	biān	1	bian
821	邉	biān	1	bian
822	鍽	biān	1	bian
823	鳊	biān	1	bian
824	邊	biān	1	bian
825	鞭	biān	1	bian
826	鯿	biān	1	bian
827	籩	biān	1	bian
828	糄	biān	1	bian
829	揙	biān	1	bian
830	臱	biān	1	bian
831	鯾	biān	1	bian
832	炞	biǎn	3	bian
833	贬	biǎn	3	bian
834	扁	biǎn	3	bian
835	扁	piān	1	pian
836	窆	biǎn	3	bian
837	匾	biǎn	3	bian
838	貶	biǎn	3	bian
839	惼	biǎn	3	bian
840	碥	biǎn	3	bian
841	稨	biǎn	3	bian
842	褊	biǎn	3	bian
843	鴘	biǎn	3	bian
844	藊	biǎn	3	bian
845	釆	biǎn	3	bian
846	辧	biǎn	3	bian
847	疺	biǎn	3	bian
848	覵	biǎn	3	bian
849	鶣	biǎn	3	bian
850	卞	biàn	4	bian
851	弁	biàn	4	bian
852	忭	biàn	4	bian
853	抃	biàn	4	bian
854	汳	biàn	4	bian
855	汴	biàn	4	bian
856	苄	biàn	4	bian
857	峅	biàn	4	bian
858	便	biàn	4	bian
859	便	pián	2	pian
860	变	biàn	4	bian
861	変	biàn	4	bian
862	昪	biàn	4	bian
863	覍	biàn	4	bian
864	缏	biàn	4	bian
865	遍	biàn	4	bian
866	閞	biàn	4	bian
867	辡	biàn	4	bian
868	緶	biàn	4	bian
869	艑	biàn	4	bian
870	辨	biàn	4	bian
871	辩	biàn	4	bian
872	辫	biàn	4	bian
873	辮	biàn	4	bian
874	辯	biàn	4	bian
875	變	biàn	4	bian
876	彪	biāo	1	biao
877	标	biāo	1	biao
878	飑	biāo	1	biao
879	骉	biāo	1	biao
880	髟	biāo	1	biao
881	淲	biāo	1	biao
882	猋	biāo	1	biao
883	脿	biāo	1	biao
884	墂	biāo	1	biao
885	幖	biāo	1	biao
886	滮	biāo	1	biao
887	蔈	biāo	1	biao
888	骠	biāo	1	biao
889	骠	piào	4	piao
890	標	biāo	1	biao
891	熛	biāo	1	biao
892	膘	biāo	1	biao
893	麃	biāo	1	biao
894	瘭	biāo	1	biao
895	镖	biāo	1	biao
896	飙	biāo	1	biao
897	飚	biāo	1	biao
898	儦	biāo	1	biao
899	颷	biāo	1	biao
900	瀌	biāo	1	biao
901	藨	biāo	1	biao
902	謤	biāo	1	biao
903	爂	biāo	1	biao
904	臕	biāo	1	biao
905	贆	biāo	1	biao
906	鏢	biāo	1	biao
907	穮	biāo	1	biao
908	镳	biāo	1	biao
909	飆	biāo	1	biao
910	飇	biāo	1	biao
911	飈	biāo	1	biao
912	飊	biāo	1	biao
913	驃	biāo	1	biao
914	鑣	biāo	1	biao
915	驫	biāo	1	biao
916	摽	biāo	1	biao
917	膔	biāo	1	biao
918	篻	biāo	1	biao
919	僄	biāo	1	biao
920	徱	biāo	1	biao
921	表	biǎo	3	biao
922	婊	biǎo	3	biao
923	裱	biǎo	3	biao
924	褾	biǎo	3	biao
925	錶	biǎo	3	biao
926	檦	biǎo	3	biao
927	諘	biǎo	3	biao
928	俵	biào	4	biao
929	鳔	biào	4	biao
930	鰾	biào	4	biao
931	憋	biē	1	bie
932	鳖	biē	1	bie
933	鱉	biē	1	bie
934	鼈	biē	1	bie
935	虌	biē	1	bie
936	龞	biē	1	bie
937	蟞	biē	1	bie
938	別	bié	2	bie
939	别	bié	2	bie
940	莂	bié	2	bie
941	蛂	bié	2	bie
942	徶	bié	2	bie
943	襒	bié	2	bie
944	蹩	bié	2	bie
945	穪	bié	2	bie
946	瘪	biě	3	bie
947	瘪	biē	1	bie
948	癟	biě	3	bie
949	彆	biè	4	bie
950	汃	bīn	1	bin
951	邠	bīn	1	bin
952	砏	bīn	1	bin
953	宾	bīn	1	bin
954	彬	bīn	1	bin
955	斌	bīn	1	bin
956	椕	bīn	1	bin
957	滨	bīn	1	bin
958	缤	bīn	1	bin
959	槟	bīn	1	bin
960	槟	bīnɡ	1	bing
961	瑸	bīn	1	bin
962	豩	bīn	1	bin
963	賓	bīn	1	bin
964	賔	bīn	1	bin
965	镔	bīn	1	bin
966	儐	bīn	1	bin
967	濒	bīn	1	bin
968	濱	bīn	1	bin
969	濵	bīn	1	bin
970	虨	bīn	1	bin
971	豳	bīn	1	bin
972	璸	bīn	1	bin
973	瀕	bīn	1	bin
974	霦	bīn	1	bin
975	繽	bīn	1	bin
976	蠙	bīn	1	bin
977	鑌	bīn	1	bin
978	顮	bīn	1	bin
979	檳	bīn	1	bin
980	玢	bīn	1	bin
981	訜	bīn	1	bin
982	傧	bīn	1	bin
983	氞	bìn	4	bin
984	摈	bìn	4	bin
985	殡	bìn	4	bin
986	膑	bìn	4	bin
987	髩	bìn	4	bin
988	擯	bìn	4	bin
989	鬂	bìn	4	bin
990	臏	bìn	4	bin
991	髌	bìn	4	bin
992	鬓	bìn	4	bin
993	髕	bìn	4	bin
994	鬢	bìn	4	bin
995	殯	bìn	4	bin
996	仌	bīnɡ	1	bing
997	氷	bīnɡ	1	bing
998	冰	bīnɡ	1	bing
999	兵	bīnɡ	1	bing
1000	栟	bīnɡ	1	bing
1001	掤	bīnɡ	1	bing
1002	梹	bīnɡ	1	bing
1003	鋲	bīnɡ	1	bing
1004	幷	bīnɡ	1	bing
